701,Argent Alley Panorama,Not Found
812,Potrero Hill 1间宽阔卧室公寓,Not Found
844,"""Downtown",Not Found
845,Mission District间工作室公寓,Not Found
846,,Not Found
1487,,Not Found
1489,,Not Found
1546,Mission District间工作室公寓,Not Found
1547,Mission District间工作室公寓,Not Found
1635,"""Downtown",Not Found
2082,Haight-Ashbury 2间卧室独栋房屋,Not Found
2087,Pacific Heights 1间精品卧室公寓,Not Found
2090,"""Western Addition",Not Found
2091,"""Castro",Not Found
2093,Presidio Heights 4间卧室公寓,Not Found
2097,Mission District 2间卧室公寓,Not Found
2103,Cole Valley 1间卧室公寓,Not Found
2104,Haight-Ashbury 1间卧室公寓,Not Found
2105,Haight-Ashbury 1间卧室公寓,Not Found
2106,Presidio Heights 4间卧室公寓,Not Found
2111,Pacific Heights 1间卧室公寓,Not Found
2115,Central Victorian 1 Bedroom,Not Found
2116,Cole Valley 2间卧室公寓,Not Found
2119,Haight-Ashbury 1间卧室公寓,Not Found
2390,Mission District间工作室公寓,Not Found
2391,Mission District 1间卧室公寓,Not Found
2392,"""Downtown",Not Found
4174,,Not Found
4328,Haight-Ashbury 1间卧室公寓,Not Found
4748,"""Downtown",Not Found
5161,Mission Secret,Not Found
5562,Haight-Ashbury 2间卧室公寓,Not Found
5810,North Beach间工作室公寓,Not Found
5989,Pacific Heights间工作室独栋房屋,Not Found
6018,Haight-Ashbury 1间卧室公寓,Not Found
6572,Bette's New Place,Not Found
6602,Mission District间工作室公寓,Not Found
6603,Mission District间工作室公寓,Not Found
6855,Palm Tree Cottage,Not Found
7120,Lyon's Den,Not Found
7226,"""Downtown",Not Found
7227,"""Downtown",Not Found
9490,"""Richmond District",Not Found
9525,"""Richmond District",Not Found
9527,"""Richmond District",Not Found
10485,Mission District 2间绚丽夺目卧室公寓,Not Found
11459,Upper Market 1间舒适卧室公寓,Not Found
11460,"""Richmond District",Not Found
11490,"""Castro",Not Found
11950,Pacifica 1间可爱卧室独栋房屋,Not Found
12052,Presidio Heights间工作室公寓,Not Found
12939,Noe Valley 1间绮丽卧室公寓,Not Found
14545,Russian Hill间工作室公寓,Not Found
14546,Noe Valley间工作室公寓,Not Found
14556,Noe Valley 2间精品卧室公寓,Not Found
15073,"""Castro",Not Found
16917,"""Sunny",Not Found
22172,Haight-Ashbury间工作室公寓,Not Found
23075,Cole Valley间工作室公寓,Not Found
23138,Cole Valley间工作室公寓,Not Found
24486,Telegraph Terrace,Not Found
25827,North Beach 3间标致卧室公寓,Not Found
28535,"""Financial District",Not Found
28540,FINANCE DIST: MARIO'S STUDIO PENTHOUSE,Not Found
37300,"""Downtown",Not Found
45249,Cole Valley间工作室公寓,Not Found
50580,Marina District 4间团体青睐卧室独栋房屋,Not Found
50584,North Beach- 3 Bedroom in SF!,Not Found
58991,"""Richmond District",Not Found
60655,Nob Hill间工作室公寓,Not Found
60835,"""Downtown",Not Found
60849,"""Downtown",Not Found
60902,"""Downtown",Not Found
62610,"""Downtown",Not Found
62612,"""Downtown",Not Found
62613,"""Downtown",Not Found
62815,"""Downtown",Not Found
63287,Mission District 1间卧室公寓,Not Found
63521,Telegraph Hill 2间绚丽夺目卧室公寓,Not Found
64193,Mission District间工作室公寓,Not Found
65545,"""Downtown",Not Found
65547,"""Downtown",Not Found
65566,Upper Market 3间卧室公寓,Not Found
65567,"""Castro",Not Found
65568,"""Castro",Not Found
65722,"""Downtown",Not Found
65723,Mission District间工作室公寓,Not Found
65874,"""Downtown",Not Found
65877,Noe Valley 1间开阔卧室公寓,Not Found
68998,Telegraph Hill 1间标致卧室公寓,Not Found
69621,Haight-Ashbury 1间美妙卧室独栋房屋,Not Found
72419,Noe Valley 2间卧室公寓,Not Found
73883,Telegraph Vista 2bd/1ba Flat,Not Found
73886,Pacific Heights Retreat 2bd/2ba,Not Found
76252,Haight-Ashbury 1间瑰丽卧室公寓,Not Found
77170,North Beach 3间瑰丽卧室公寓,Not Found
77175,Telegraph Hill间工作室公寓,Not Found
77176,Telegraph Hill 2间无以比拟卧室公寓,Not Found
84854,"""Excelsior",Not Found
99229,,Not Found
100292,"""Downtown",Not Found
101996,Noe Valley 2间卧室公寓,Not Found
131464,Mission District 2间卧室公寓,Not Found
131609,Telegraph Hill 2间温馨卧室公寓,Not Found
133671,Noe Valley 2间卧室公寓,Not Found
133884,,Not Found
134493,Telegraph Hill间工作室公寓,Not Found
134495,Pacific Heights 1间卧室公寓,Not Found
134826,Mission District 1间标致卧室独栋房屋,Not Found
135608,,Not Found
135868,,Not Found
147347,South of Market间工作室公寓,Not Found
162845,Noe Valley 2间开阔卧室公寓,Not Found
164444,Lower Haight 2间惊艳卧室公寓,Not Found
167634,Bernal Heights 2间绚丽夺目卧室独栋房屋,Not Found
169658,,Not Found
191817,,Not Found
192835,,Not Found
193389,Lovely 1 Bd Nob Hill Condo,Not Found
193393,Nob Hill Central 3bd/2ba flat,Not Found
203238,Lower Haight 1间卧室酒店,Not Found
203397,,Not Found
205121,Noe Valley 2间瑰丽卧室独栋房屋,Not Found
205498,Pacific Heights间工作室公寓,Not Found
205499,Noe Valley 1间卧室公寓,Not Found
206398,"""Downtown",Not Found
208618,Upper Market 1间卧室公寓,Not Found
208625,"""Castro",Not Found
231545,Potrero Hill 3间卧室独栋房屋,Not Found
262980,,Not Found
347983,"""Excelsior",Not Found
360276,"""Castro",Not Found
360278,Bernal Heights 2间卧室公寓,Not Found
360576,,Not Found
364083,Potrero Hill 2间卧室公寓,Not Found
369604,Mission District 1间宽敞卧室公寓,Not Found
369663,Noe Valley 1间迷人卧室公寓,Not Found
370196,Mission District 1间友好卧室公寓,Not Found
387625,,Not Found
406445,"""Financial District",Not Found
417258,"""Castro",Not Found
417263,San Francisco间工作室独栋房屋,Not Found
417935,,Not Found
418104,NON-SMOKING Sunny  1-BR Apartment,Not Found
418108,Very Large 2bd/1.5ba Apartment,Not Found
419987,Bernal Heights间工作室公寓,Not Found
420004,"""Financial District",Not Found
420139,"""Financial District",Not Found
421927,Cole Valley间工作室公寓,Not Found
428342,Russian Hill 2间卧室公寓,Not Found
429194,NON-SMOKING    2-BR Apartment,Not Found
430920,Balboa Park Upper,Not Found
430922,San Francisco 2间迷人卧室独栋房屋,Not Found
440041,,Not Found
441879,,Not Found
442031,,Not Found
442036,,Not Found
443057,"""South Beach",Not Found
448612,"""Financial District",Not Found
448773,,Not Found
